date,revenue,type,forecast_mean,lower_80,upper_80,lower_95,upper_95
2009-12-01,683504.01,Historical,683504.01,,,,
2010-01-01,555802.672,Historical,555802.672,,,,
2010-02-01,504558.956,Historical,504558.956,,,,
2010-03-01,696978.471,Historical,696978.471,,,,
2010-04-01,591982.002,Historical,591982.002,,,,
2010-05-01,597833.38,Historical,597833.38,,,,
2010-06-01,636371.13,Historical,636371.13,,,,
2010-07-01,589736.17,Historical,589736.17,,,,
2010-08-01,602224.6,Historical,602224.6,,,,
2010-09-01,829013.951,Historical,829013.951,,,,
2010-10-01,1033112.01,Historical,1033112.01,,,,
2010-11-01,1166460.022,Historical,1166460.022,,,,
2010-12-01,570422.73,Historical,570422.73,,,,
2011-01-01,568101.31,Historical,568101.31,,,,
2011-02-01,446084.92,Historical,446084.92,,,,
2011-03-01,594081.76,Historical,594081.76,,,,
2011-04-01,468374.331,Historical,468374.331,,,,
2011-05-01,677355.15,Historical,677355.15,,,,
2011-06-01,660046.05,Historical,660046.05,,,,
2011-07-01,598962.901,Historical,598962.901,,,,
2011-08-01,644051.04,Historical,644051.04,,,,
2011-09-01,950690.202,Historical,950690.202,,,,
2011-10-01,1035642.45,Historical,1035642.45,,,,
2011-11-01,1156205.61,Historical,1156205.61,,,,
2011-12-01,517208.44,Historical,517208.44,,,,
2012-01-01,,Forecast,481840.0400551179,322082.1503886695,641597.9297215664,237511.4321310965,726168.6479791394
2012-02-01,,Forecast,323009.42976343364,32525.501550184737,613493.3579766825,-121247.40132532857,767266.2608521958
2012-03-01,,Forecast,429995.3568768378,-13332.786676985736,873323.5004306613,-248016.52969851939,1108007.243452195
